Phase 3 Variable Inventory (all eight sources) -- Run:   26AUG2026:14:28:22
Source               Variable                          Type    Length
MASTER_DATA_2        ORAL_MORPHINE_EQUIV_mg_POD_DAY2     1         8
MASTER_DATA_2        ORAL_MORPHINE_EQUIV_mg_POD_DAY3     1         8
MASTER_DATA_2        ORAL_MORPHINE_EQUIV_mg_POD_DAY4     1         8
MASTER_DATA_2        ORAL_MORPHINE_EQUIV_mg_POD_DAY5     1         8
MASTER_DATA_2        ORAL_MORPHINE_EQUIV_mg_POD_DAY6     1         8
MASTER_DATA_2        ORAL_MORPHINE_EQUIV_mg_POD_DAY7     1         8
MASTER_DATA_2        ICU_LOS_TOTAL_TIME_HOURS            1         8
MASTER_DATA_3        PRECEDE_STUDY_ID                    2        12
MASTER_DATA_3        YEAR                                1         8
MASTER_DATA_3        ENCRYPTED_MRN                       2        40
MASTER_DATA_3        ENCRYPTED_ENCOUNTER                 2        49
MASTER_DATA_3        rt_ANCHOR_to_ADMIT_days             1         8
MASTER_DATA_3        rt_ANCHOR_to_SURGERY_days           1         8
MASTER_DATA_3        rt_ANCHOR_to_DISCHG_days            1         8
MASTER_DATA_3        rt_ADMIT_to_AN_START_mins           1         8
MASTER_DATA_3        rt_ADMIT_to_AN_END_mins             1         8
MASTER_DATA_3        rt_ADMIT_to_BLOCK_START_mins        1         8
MASTER_DATA_3        rt_ADMIT_to_BLOCK_END_mins          1         8
MASTER_DATA_3        rt_ADMIT_to_RM_START_mins           1         8
MASTER_DATA_3        rt_ADMIT_to_RM_END_mins             1         8
MASTER_DATA_3        rt_ADMIT_to_INCISION_mins           1         8
MASTER_DATA_3        rt_ADMIT_to_DRESS_mins              1         8
MASTER_DATA_3        rt_INCISE_to_DRESS_mins             1         8
MASTER_DATA_3        rt_RM_START_to_RM_END_mins          1         8
MASTER_DATA_3        rt_RM_START_to_DRESS_mins           1         8
MASTER_DATA_3        rt_RM_START_to_AN_START_mins        1         8
MASTER_DATA_3        rt_RM_START_to_INCISION_mins        1         8
MASTER_DATA_3        rt_AN_START_to_AN_END_mins          1         8
MASTER_DATA_3        rt_BLOCK_START_TO_BLOCK_END_mins    1         8
MASTER_DATA_3        rt_RM_START_to_INDUCTION_mins       1         8
MASTER_DATA_3        rt_RM_START_to_EMERGENCE_mins       1         8
MASTER_DATA_3        Day_of_Week__CHAR_                  2         3
MASTER_DATA_3        Day_of_Week__NUM_                   1         8
MASTER_DATA_3        Holidays                            2         1
MASTER_DATA_3        Weekend_Indicator                   2         1
MASTER_DATA_3        Age_at_Encounter                    1         8
MASTER_DATA_3        EmployeeCode                        1         8
MASTER_DATA_3        EmployeeStatus                      2        23
MASTER_DATA_3        Education                           2        19
MASTER_DATA_3        Race                                2        16
MASTER_DATA_3        Ethnicity                           2        15
MASTER_DATA_3        Sex                                 2         6
MASTER_DATA_3        Marital_Status                      2        22
MASTER_DATA_3        Admit_BMI                           1         8
MASTER_DATA_3        Service                             2        32
MASTER_DATA_3        Room_Type                           2        22
MASTER_DATA_3        ASA__Anesth_Record_                 1         8
MASTER_DATA_3        Emergent                            2         1
MASTER_DATA_3        Base_Procedure_1                    2       199
MASTER_DATA_3        Base_Procedure_Code_1               2        10
MASTER_DATA_3        CPT_1                               2         8
MASTER_DATA_3        CPT_1_Description                   2        75
MASTER_DATA_3        CPT1_Class                          1         8
MASTER_DATA_3        CPT1_Label                          2        96
MASTER_DATA_3        Patient_Type                        2        18
